PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Castrillon, M.; Jorge, P. A.; Lopez, I. J.; Macias, A.; Martin, D.; Nebot, R. J.; Sabbagh, I.; Quintana, F. M.; Sanchez, J.; Sanchez, A. J.; Suarez, J. P.; Trujillo, A.								Forecasting and visualization of wildfires in a 3D geographical information system								COMPUTERS & GEOSCIENCES				37	3			390	396		10.1016/j.cageo.2010.04.011			MAR 2011	2011										12							WOS:000288926700013		
J	Diaz-Lacava, Amalia; Walier, Maja; Willuweit, Sascha; Wienker, Thomas F.; Fimmers, Rolf; Baur, Max P.; Roewer, Lutz								Geostatistical inference of main Y-STR-haplotype groups in Europe								FORENSIC SCIENCE INTERNATIONAL-GENETICS				5	2			91	94		10.1016/j.fsigen.2010.09.010			MAR 2011	2011						7th International Y Chromosome User Workshop/4th International EMPOP Meeting	APR 22-24, 2010		Berlin, GERMANY	8							WOS:000288248400004		
J	Liang, Bingqing; Weng, Qihao								Assessing Urban Environmental Quality Change of Indianapolis, United States, by the Remote Sensing and GIS Integration								IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING				4	1			43	55		10.1109/JSTARS.2010.2060316			MAR 2011	2011										24							WOS:000288678800007		
J	Rahman, Atiqur; Aggarwal, Shiv Prashad; Netzband, Maik; Fazal, Shahab								Monitoring Urban Sprawl Using Remote Sensing and GIS Techniques of a Fast Growing Urban Centre, India								IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING				4	1			56	64		10.1109/JSTARS.2010.2084072			MAR 2011	2011										25							WOS:000288678800008		
J	Subramaniam, S.; Babu, A. V. Suresh; Roy, Partha Sarathi								Automated Water Spread Mapping Using ResourceSat-1 AWiFS Data for Water Bodies Information System								IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING				4	1			205	215		10.1109/JSTARS.2010.2085032			MAR 2011	2011										11							WOS:000288678800023		
J	Hsieh, S. T.; Kulathinal, R. J.								lizardbase: A new collaborative GIS and genomic resource for the scientific community								INTEGRATIVE AND COMPARATIVE BIOLOGY				51				E203	E203					MAR 2011	2011						Annual Meeting of the Society-for-Integrative-and-Comparative-Biology	JAN 03-07, 2011	Soc Integrat & Comparat Biol	Salt Lake City, UT	0							WOS:000288278100184		
J	O'Bryant, Sid E.; Edwards, Melissa; Menon, Chloe V.; Gong, Gordon; Barber, Robert								Long-Term Low-Level Arsenic Exposure Is Associated with Poorer Neuropsychological Functioning: A Project FRONTIER Study								INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH				8	3			861	874		10.3390/ijerph8030861			MAR 2011	2011										62							WOS:000288781900013		
J	Zhou, Di; Zhao, Zhongxian; Liao, Jie; Sun, Zhen								A preliminary assessment on CO2 storage capacity in the Pearl River Mouth Basin offshore Guangdong, China								INTERNATIONAL JOURNAL OF GREENHOUSE GAS CONTROL				5	2			308	317		10.1016/j.ijggc.2010.09.011			MAR 2011	2011										36							WOS:000288842700011		
J	Li Jiake; Li Huaien; Shen Bing; Li Yajiao								Effect of non-point source pollution on water quality of the Weihe River								INTERNATIONAL JOURNAL OF SEDIMENT RESEARCH				26	1			50	61		10.1016/S1001-6279(11)60075-9			MAR 2011	2011										25							WOS:000289007800005		
J	Henneman, Philip L.; Garb, Jane L.; Capraro, Geoffrey A.; Li, Haiping; Smithline, Howard A.; Wait, Richard B.								GEOGRAPHY AND TRAVEL DISTANCE IMPACT EMERGENCY DEPARTMENT VISITS								JOURNAL OF EMERGENCY MEDICINE				40	3			333	339		10.1016/j.jemermed.2009.08.058			MAR 2011	2011										21							WOS:000288772200021		
J	Rodriguez, E.; Garcia-Garrido, J. M.; Garcia, P. A.; Campos, M.								IMPLICATIONS OF PLANT MATERIAL ORIGIN, LAND USE HISTORY AND SOIL PROPERTIES IN THE INCIDENCE OF VERTICILLIUM WILT IN OLIVE GROVES								JOURNAL OF PLANT PATHOLOGY				93	1			111	118					MAR 2011	2011										3							WOS:000288837500013		
J	Katpatal, Yashwant B.; Rao, B. V. S. Rama								Urban Spatial Decision Support System for Municipal Solid Waste Management of Nagpur Urban Area Using High-Resolution Satellite Data and Geographic Information System								JOURNAL OF URBAN PLANNING AND DEVELOPMENT-ASCE				137	1			65	76		10.1061/(ASCE)UP.1943-5444.0000043			MAR 2011	2011										9							WOS:000287937500008		
J	Buenemann, M.; Martius, C.; Jones, J. W.; Herrmann, S. M.; Klein, D.; Mulligan, M.; Reed, M. S.; Winslow, M.; Washington-Allen, R. A.; Lal, R.; Ojima, D.								INTEGRATIVE GEOSPATIAL APPROACHES FOR THE COMPREHENSIVE MONITORING AND ASSESSMENT OF LAND MANAGEMENT SUSTAINABILITY: RATIONALE, POTENTIALS, AND CHARACTERISTICS								LAND DEGRADATION & DEVELOPMENT				22	2			226	239		10.1002/ldr.1074			MAR-APR 2011	2011										16							WOS:000289003600007		
J	Vostrovsky, Vaclav; Stusek, Jaroslav								GEOGRAPHICAL ANALYSIS OF THE WEED BEET OCCURRENCE								LISTY CUKROVARNICKE A REPARSKE				127	3			100	104					MAR 2011	2011										0							WOS:000288826000005		
J	Hoymann, Jana								Accelerating urban sprawl in depopulating regions: a scenario analysis for the Elbe River Basin								REGIONAL ENVIRONMENTAL CHANGE				11	1			73	86		10.1007/s10113-010-0120-x			MAR 2011	2011										11							WOS:000287596900006		
J	Donnelly, Shanon								Land-use portfolios and the management of private landholdings in south-central Indiana								REGIONAL ENVIRONMENTAL CHANGE				11	1			97	109		10.1007/s10113-010-0124-6			MAR 2011	2011										2							WOS:000287596900008		
J	Hammond, Davyda; Conlon, Kathryn; Barzyk, Timothy; Chahine, Teresa; Zartarian, Valerie; Schultz, Brad								Assessment and Application of National Environmental Databases and Mapping Tools at the Local Level to Two Community Case Studies								RISK ANALYSIS				31	3			475	487		10.1111/j.1539-6924.2010.01527.x			MAR 2011	2011										4							WOS:000288125300012		
J	Haywood, Andrew; Stone, Christine								Semi-automating the stand delineation process in mapping natural eucalypt forests								AUSTRALIAN FORESTRY				74	1			13	22		10.1080/00049158.2011.10676341			MAR 2011	2011										9							WOS:000288656900003		
J	Li, Xin H.; Tian, Hui D.; Heiner, Michael; Li, Dian M.								Global Occurrence and Spread of Highly Pathogenic Avian Influenza Virus of the Subtype H5N1								AVIAN DISEASES				55	1			21	28		10.1637/9306-031710-Reg.1			MAR 2011	2011										7							WOS:000288773300004		
J	Auer, Tom; MacEachren, Alan M.; McCabe, Craig; Pezanowski, Scott; Stryker, Michael								HerbariaViz: A web-based client-server interface for mapping and exploring flora observation data								ECOLOGICAL INFORMATICS				6	2			93	110		10.1016/j.ecoinf.2010.09.001			MAR 2011	2011										10							WOS:000288727800002		
